#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 31/10/2019 A 10:22:08 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  -1.514066E+01  -6.150579E-01  7.644594E+01  3.872968E-05
 1.100000E-04  1.366706E-18  -1.116000E-02  0.000000E+00  -1.290648E+01  -1.065891E-01  7.729612E+01  -1.195119E-05
 2.200000E-04  1.380177E-18  -1.127000E-02  0.000000E+00  -1.099579E+01  -2.181732E-01  7.785380E+01  -7.470517E-05
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  -9.122036E+00  -3.050020E-01  7.840772E+01  -9.784388E-05
 4.400000E-04  1.407119E-18  -1.149000E-02  0.000000E+00  -7.287696E+00  -3.683388E-01  7.895670E+01  -9.125601E-05
 5.500000E-04  1.420590E-18  -1.160000E-02  0.000000E+00  -5.493120E+00  -4.100769E-01  7.950005E+01  -6.708356E-05
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  -3.735519E+00  -4.318344E-01  8.003813E+01  -3.876386E-05
 7.700000E-04  1.447533E-18  -1.182000E-02  0.000000E+00  -2.012348E+00  -4.355305E-01  8.057114E+01  -1.386327E-05
 8.800000E-04  1.461004E-18  -1.193000E-02  0.000000E+00  -3.211137E-01  -4.228206E-01  8.109935E+01  6.974059E-06
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  1.340615E+00  -3.951347E-01  8.162305E+01  2.406800E-05
 1.100000E-03  1.487946E-18  -1.215000E-02  0.000000E+00  2.975228E+00  -3.537307E-01  8.214260E+01  3.746015E-05
 1.210000E-03  1.501417E-18  -1.226000E-02  0.000000E+00  4.585113E+00  -2.997548E-01  8.265838E+01  4.664350E-05
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  6.172729E+00  -2.343353E-01  8.317081E+01  5.030244E-05
 1.430000E-03  1.528359E-18  -1.248000E-02  0.000000E+00  7.740688E+00  -1.587551E-01  8.368030E+01  4.469652E-05
 1.540000E-03  1.541830E-18  -1.259000E-02  0.000000E+00  9.291850E+00  -7.477670E-02  8.418719E+01  1.501800E-05
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  1.099725E+01  3.885125E-01  8.485949E+01  -1.185003E-05

