#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 31/10/2019 A 10:25:47 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  0.000000E+00  1.105000E-02  0.000000E+00  1.175225E+02  4.723352E+00  -2.638510E+01  -1.033851E-05
 1.100000E-04  0.000000E+00  1.116000E-02  0.000000E+00  9.850981E+01  1.058044E+00  -4.757273E+01  -4.453916E-06
 2.200000E-04  0.000000E+00  1.127000E-02  0.000000E+00  8.206514E+01  1.918935E+00  -6.635924E+01  -6.267291E-06
 3.300000E-04  0.000000E+00  1.138000E-02  0.000000E+00  6.604635E+01  2.603089E+00  -8.487277E+01  -4.422116E-06
 4.400000E-04  0.000000E+00  1.149000E-02  0.000000E+00  5.043556E+01  3.120026E+00  -1.031218E+02  -2.963795E-06
 5.500000E-04  0.000000E+00  1.160000E-02  0.000000E+00  3.521607E+01  3.478869E+00  -1.211144E+02  -2.027220E-06
 6.600000E-04  0.000000E+00  1.171000E-02  0.000000E+00  2.037217E+01  3.688327E+00  -1.388580E+02  -1.406286E-06
 7.700000E-04  0.000000E+00  1.182000E-02  0.000000E+00  5.888969E+00  3.756652E+00  -1.563600E+02  -9.303549E-07
 8.800000E-04  0.000000E+00  1.193000E-02  0.000000E+00  -8.253892E+00  3.715674E+00  -1.736335E+02  -6.050223E-07
 9.900000E-04  0.000000E+00  1.204000E-02  0.000000E+00  -2.246081E+01  3.498963E+00  -1.910777E+02  5.868322E-08
 1.100000E-03  0.000000E+00  1.215000E-02  0.000000E+00  -3.635391E+01  3.184413E+00  -2.083100E+02  7.425911E-07
 1.210000E-03  0.000000E+00  1.226000E-02  0.000000E+00  -4.993066E+01  2.754564E+00  -2.253218E+02  1.682042E-06
 1.320000E-03  0.000000E+00  1.237000E-02  0.000000E+00  -6.320275E+01  2.215866E+00  -2.421190E+02  2.722671E-06
 1.430000E-03  0.000000E+00  1.248000E-02  0.000000E+00  -7.618110E+01  1.574497E+00  -2.587072E+02  3.119744E-06
 1.540000E-03  0.000000E+00  1.259000E-02  0.000000E+00  -8.887532E+01  8.361908E-01  -2.750916E+02  2.277160E-06
 1.650000E-03  0.000000E+00  1.270000E-02  0.000000E+00  -1.029275E+02  -3.639862E+00  -2.929137E+02  8.433317E-07

