#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 27/11/2019 A 12:51:27 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  0.000000E+00  1.105000E-02  0.000000E+00  1.174513E+02  1.519252E-01  -2.916091E+01  -3.541763E-01
 1.100000E-04  0.000000E+00  1.116000E-02  0.000000E+00  1.006877E+02  1.279793E+00  -4.823453E+01  -1.710669E-01
 2.200000E-04  0.000000E+00  1.127000E-02  0.000000E+00  8.407551E+01  2.122048E+00  -6.722928E+01  -1.457962E-01
 3.300000E-04  0.000000E+00  1.138000E-02  0.000000E+00  6.761460E+01  2.678692E+00  -8.614517E+01  -2.783643E-01
 4.400000E-04  0.000000E+00  1.149000E-02  0.000000E+00  5.190389E+01  3.437973E+00  -1.046029E+02  -1.941202E-01
 5.500000E-04  0.000000E+00  1.160000E-02  0.000000E+00  3.641271E+01  3.852196E+00  -1.229208E+02  -1.805851E-01
 6.600000E-04  0.000000E+00  1.171000E-02  0.000000E+00  2.114107E+01  3.921359E+00  -1.410987E+02  -2.377590E-01
 7.700000E-04  0.000000E+00  1.182000E-02  0.000000E+00  6.642716E+00  4.199077E+00  -1.587387E+02  -1.808705E-01
 8.800000E-04  0.000000E+00  1.193000E-02  0.000000E+00  -7.901174E+00  4.152502E+00  -1.764715E+02  -1.672011E-01
 9.900000E-04  0.000000E+00  1.204000E-02  0.000000E+00  -2.249060E+01  3.781637E+00  -1.942971E+02  -1.967508E-01
 1.100000E-03  0.000000E+00  1.215000E-02  0.000000E+00  -3.659020E+01  3.529161E+00  -2.118444E+02  -1.620123E-01
 1.210000E-03  0.000000E+00  1.226000E-02  0.000000E+00  -5.045451E+01  3.086187E+00  -2.292112E+02  -1.452227E-01
 1.320000E-03  0.000000E+00  1.237000E-02  0.000000E+00  -6.408354E+01  2.452715E+00  -2.463975E+02  -1.463818E-01
 1.430000E-03  0.000000E+00  1.248000E-02  0.000000E+00  -7.717985E+01  1.867893E+00  -2.632259E+02  -1.018825E-01
 1.540000E-03  0.000000E+00  1.259000E-02  0.000000E+00  -9.019981E+01  1.110670E+00  -2.800095E+02  -1.424616E-01
 1.650000E-03  0.000000E+00  1.270000E-02  0.000000E+00  -1.031434E+02  1.810478E-01  -2.967483E+02  -2.681194E-01

