#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 27/11/2019 A 12:51:27 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  1.338675E+02  1.462566E+02  -2.885278E+01  9.482188E-01  1.174039E+02  -1.859401E-05  -3.575838E-04  9.999999E-01  6.548251E-03  9.999785E-01  3.576979E-04  9.999786E-01  -6.548258E-03  1.625206E-05  2.228554E-01
 1.100000E-04  1.312553E+02  1.488143E+02  -4.783067E+01  1.686175E+00  1.009836E+02  -1.435514E-05  -1.907202E-04  1.000000E+00  5.552971E-03  9.999850E-01  1.907962E-04  9.999850E-01  -5.552974E-03  1.327794E-05  1.384167E-01
 2.200000E-04  1.312479E+02  1.513724E+02  -6.680856E+01  2.423704E+00  8.456386E+01  -1.072357E-05  -9.046163E-05  1.000000E+00  3.952173E-03  9.999917E-01  9.050404E-05  9.999917E-01  -3.952174E-03  1.039396E-05  5.211013E-02
 3.300000E-04  1.335750E+02  1.535453E+02  -8.649572E+01  2.932895E+00  6.704955E+01  -1.166669E-05  -1.696934E-04  1.000000E+00  7.871435E-03  9.999690E-01  1.697799E-04  9.999690E-01  -7.871437E-03  1.033060E-05  -4.120849E-02
 4.400000E-04  1.388090E+02  1.564724E+02  -1.044881E+02  3.634228E+00  5.198435E+01  -6.001841E-06  -1.347242E-04  1.000000E+00  7.573202E-03  9.999720E-01  1.347633E-04  9.999720E-01  -7.573202E-03  4.990750E-06  -1.175879E-01
 5.500000E-04  1.458193E+02  1.593997E+02  -1.224804E+02  4.335464E+00  3.691924E+01  -6.017786E-07  -1.082080E-04  1.000000E+00  6.222346E-03  9.999799E-01  1.082121E-04  9.999799E-01  -6.222346E-03  -7.868750E-08  -1.854801E-01
 6.600000E-04  1.543253E+02  1.619605E+02  -1.406661E+02  4.679352E+00  2.129439E+01  -4.011420E-05  -1.204409E-04  1.000000E+00  2.643792E-02  9.996504E-01  1.214594E-04  9.996505E-01  -2.643792E-02  3.691597E-05  -2.477287E-01
 7.700000E-04  1.641689E+02  1.666910E+02  -1.584510E+02  3.114349E+00  8.239987E+00  -2.903769E-05  -9.925770E-05  1.000000E+00  7.830105E-01  2.562179E-01  5.016048E-05  1.880712E-01  7.712603E-01  7.983645E-05  -2.985574E-01
 8.800000E-04  1.748883E+02  1.787945E+02  -1.762358E+02  -5.823716E+00  2.558649E+00  -1.842196E-05  -8.170051E-05  1.000000E+00  1.107530E+00  -7.783231E-02  1.237321E-05  -1.443122E-01  1.113405E+00  9.012773E-05  -3.422389E-01
 9.900000E-04  1.865404E+02  1.985934E+02  -1.947970E+02  -2.326597E+01  3.796418E+00  -4.087474E-05  -7.534668E-05  1.000000E+00  9.999657E-01  8.280264E-03  4.149723E-05  -8.280267E-03  9.999657E-01  7.500565E-05  -3.828779E-01
 1.100000E-03  1.984022E+02  2.154552E+02  -2.118318E+02  -3.670512E+01  3.623443E+00  -3.420321E-05  -6.502851E-05  1.000000E+00  9.999922E-01  2.884615E-03  3.440187E-05  -2.884617E-03  9.999922E-01  6.492249E-05  -4.113849E-01
 1.210000E-03  2.106836E+02  2.323179E+02  -2.288665E+02  -5.014519E+01  3.451384E+00  -2.780423E-05  -5.606722E-05  1.000000E+00  1.000003E+00  -5.630101E-04  2.776206E-05  5.630086E-04  1.000003E+00  5.608976E-05  -4.360659E-01
 1.320000E-03  2.234101E+02  2.492702E+02  -2.466349E+02  -6.446445E+01  2.635307E+00  -1.398813E-05  -7.168478E-05  1.000000E+00  9.999999E-01  -5.209381E-04  1.395078E-05  5.209371E-04  9.999999E-01  7.169205E-05  -4.602360E-01
 1.430000E-03  2.358062E+02  2.652029E+02  -2.635110E+02  -7.749988E+01  1.691894E+00  -1.187165E-05  -6.880212E-05  1.000000E+00  9.999987E-01  -1.537438E-03  1.176628E-05  1.537437E-03  9.999987E-01  6.882002E-05  -4.796070E-01
 1.540000E-03  2.484035E+02  2.811357E+02  -2.803871E+02  -9.053541E+01  7.485824E-01  -9.840361E-06  -6.622173E-05  1.000000E+00  9.999974E-01  -2.329272E-03  9.685685E-06  2.329271E-03  9.999974E-01  6.624474E-05  -4.967862E-01
 1.650000E-03  2.612021E+02  2.970686E+02  -2.972632E+02  -1.035710E+02  -1.946267E-01  -7.894247E-06  -6.394360E-05  1.000000E+00  9.999958E-01  -2.896438E-03  7.709006E-06  2.896438E-03  9.999958E-01  6.396619E-05  -5.117734E-01

