#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 27/11/2019 A 12:51:27 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  9.569581E-03  5.525000E-03  0.000000E+00  2.158566E+01  6.327895E+01  3.419556E+01  -3.628776E+01  1.729488E-03  -7.321860E-03
 1.100000E-04  9.664844E-03  5.580000E-03  0.000000E+00  1.909788E+01  5.382196E+01  2.307522E+01  -3.108389E+01  2.642552E-03  -6.837551E-03
 2.200000E-04  9.760106E-03  5.635000E-03  0.000000E+00  1.661010E+01  4.436497E+01  1.195487E+01  -2.588002E+01  3.555616E-03  -6.353241E-03
 3.300000E-04  9.855369E-03  5.690000E-03  0.000000E+00  1.523831E+01  3.616867E+01  1.830592E+00  -2.058012E+01  4.460242E-03  -5.868642E-03
 4.400000E-04  9.950632E-03  5.745000E-03  0.000000E+00  1.230485E+01  2.712110E+01  -9.143974E+00  -1.572599E+01  4.299572E-03  -5.690903E-03
 5.500000E-04  1.004589E-02  5.800000E-03  0.000000E+00  9.371386E+00  1.807354E+01  -2.011854E+01  -1.087186E+01  4.138901E-03  -5.513163E-03
 6.600000E-04  1.014116E-02  5.855000E-03  0.000000E+00  7.834215E+00  1.060897E+01  -2.979031E+01  -5.972061E+00  5.236079E-03  2.596711E-04
 7.700000E-04  1.023642E-02  5.910000E-03  0.000000E+00  4.697500E+00  2.254196E+00  -4.037153E+01  -1.446687E+00  5.283415E-03  4.882610E-04
 8.800000E-04  1.033168E-02  5.965000E-03  0.000000E+00  1.560785E+00  -6.100577E+00  -5.095275E+01  3.078688E+00  5.330751E-03  7.168509E-04
 9.900000E-04  1.042695E-02  6.020000E-03  0.000000E+00  -3.216374E-01  -1.304155E+01  -6.035517E+01  7.664241E+00  6.838418E-03  6.256005E-03
 1.100000E-03  1.052221E-02  6.075000E-03  0.000000E+00  -3.607221E+00  -2.077567E+01  -7.056763E+01  1.188510E+01  6.803233E-03  6.612882E-03
 1.210000E-03  1.061747E-02  6.130000E-03  0.000000E+00  -6.892805E+00  -2.850979E+01  -8.078009E+01  1.610595E+01  6.768048E-03  6.969759E-03
 1.320000E-03  1.071273E-02  6.185000E-03  0.000000E+00  -9.303838E+00  -3.510799E+01  -9.004345E+01  2.032900E+01  7.770449E-03  1.227355E-02
 1.430000E-03  1.080800E-02  6.240000E-03  0.000000E+00  -1.243703E+01  -4.208230E+01  -9.976015E+01  2.436286E+01  7.764202E-03  1.176309E-02
 1.540000E-03  1.090326E-02  6.295000E-03  0.000000E+00  -1.557021E+01  -4.905662E+01  -1.094769E+02  2.839672E+01  7.757954E-03  1.125262E-02
 1.650000E-03  1.099852E-02  6.350000E-03  0.000000E+00  -1.867868E+01  -5.569502E+01  -1.191170E+02  3.248057E+01  7.859551E-03  1.362211E-02

