#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 04/11/2019 A 13:26:04 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  4.358489E+00  -5.557491E-01  1.975202E-02  -2.984316E-06
 1.100000E-04  1.366706E-18  -1.116000E-02  0.000000E+00  4.291197E+00  -5.514381E-01  2.278384E-04  -2.014522E-06
 2.200000E-04  1.380177E-18  -1.127000E-02  0.000000E+00  4.244652E+00  -5.042202E-01  4.363140E-04  -3.526904E-07
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  4.199094E+00  -4.584654E-01  4.975609E-04  1.019046E-06
 4.400000E-04  1.407119E-18  -1.149000E-02  0.000000E+00  4.154704E+00  -4.140658E-01  5.004331E-04  1.419078E-06
 5.500000E-04  1.420590E-18  -1.160000E-02  0.000000E+00  4.111562E+00  -3.709353E-01  4.968878E-04  1.115197E-06
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  4.069623E+00  -3.290289E-01  4.867541E-04  7.438312E-07
 7.700000E-04  1.447533E-18  -1.182000E-02  0.000000E+00  4.028844E+00  -2.882976E-01  4.718452E-04  4.302840E-07
 8.800000E-04  1.461004E-18  -1.193000E-02  0.000000E+00  3.989181E+00  -2.486967E-01  4.526238E-04  1.950963E-07
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  3.950591E+00  -2.101854E-01  4.282206E-04  4.015490E-08
 1.100000E-03  1.487946E-18  -1.215000E-02  0.000000E+00  3.913028E+00  -1.727261E-01  3.963094E-04  -3.338303E-08
 1.210000E-03  1.501417E-18  -1.226000E-02  0.000000E+00  3.876446E+00  -1.362849E-01  3.526792E-04  -2.555202E-08
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  3.840791E+00  -1.008304E-01  2.904674E-04  5.768394E-08
 1.430000E-03  1.528359E-18  -1.248000E-02  0.000000E+00  3.806000E+00  -6.633425E-02  1.990090E-04  2.140911E-07
 1.540000E-03  1.541830E-18  -1.259000E-02  0.000000E+00  3.771994E+00  -3.277006E-02  6.212920E-05  5.436220E-07
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  3.725435E+00  -2.958003E-02  -1.338230E-02  7.771230E-07

