#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 04/11/2019 A 12:43:57 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  -1.514439E+01  -6.147646E-01  7.853694E+01  3.871583E-05
 1.100000E-04  1.366706E-18  -1.116000E-02  0.000000E+00  -1.291131E+01  -1.065614E-01  7.938669E+01  -1.193659E-05
 2.200000E-04  1.380177E-18  -1.127000E-02  0.000000E+00  -1.100169E+01  -2.181364E-01  7.994405E+01  -7.465271E-05
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  -9.129068E+00  -3.049302E-01  8.049762E+01  -9.777946E-05
 4.400000E-04  1.407119E-18  -1.149000E-02  0.000000E+00  -7.295898E+00  -3.682157E-01  8.104625E+01  -9.119615E-05
 5.500000E-04  1.420590E-18  -1.160000E-02  0.000000E+00  -5.502513E+00  -4.098944E-01  8.158925E+01  -6.703751E-05
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  -3.746111E+00  -4.315921E-01  8.212698E+01  -3.873404E-05
 7.700000E-04  1.447533E-18  -1.182000E-02  0.000000E+00  -2.024132E+00  -4.352344E-01  8.265965E+01  -1.384858E-05
 8.800000E-04  1.461004E-18  -1.193000E-02  0.000000E+00  -3.340724E-01  -4.224824E-01  8.318750E+01  6.975417E-06
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  1.326511E+00  -3.947715E-01  8.371085E+01  2.405788E-05
 1.100000E-03  1.487946E-18  -1.215000E-02  0.000000E+00  2.960017E+00  -3.533641E-01  8.423006E+01  3.744043E-05
 1.210000E-03  1.501417E-18  -1.226000E-02  0.000000E+00  4.568845E+00  -2.994105E-01  8.474551E+01  4.661623E-05
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  6.155458E+00  -2.340427E-01  8.525761E+01  5.027041E-05
 1.430000E-03  1.528359E-18  -1.248000E-02  0.000000E+00  7.722479E+00  -1.585464E-01  8.576678E+01  4.466533E-05
 1.540000E-03  1.541830E-18  -1.259000E-02  0.000000E+00  9.272774E+00  -7.468639E-02  8.627337E+01  1.500480E-05
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  1.097734E+01  3.883455E-01  8.694532E+01  -1.184643E-05

