#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 04/11/2019 A 12:15:53 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  9.569581E-03  5.525000E-03  0.000000E+00  8.378485E+01  2.673217E+00  3.461301E+01  1.718960E-01
 1.100000E-04  9.664844E-03  5.580000E-03  0.000000E+00  7.053986E+01  7.427423E-01  2.257915E+01  5.581799E-01
 2.200000E-04  9.760106E-03  5.635000E-03  0.000000E+00  5.877961E+01  1.362127E+00  1.188278E+01  9.863584E-01
 3.300000E-04  9.855369E-03  5.690000E-03  0.000000E+00  4.728770E+01  1.855158E+00  1.314761E+00  1.323400E+00
 4.400000E-04  9.950632E-03  5.745000E-03  0.000000E+00  3.605386E+01  2.228381E+00  -9.128387E+00  1.575117E+00
 5.500000E-04  1.004589E-02  5.800000E-03  0.000000E+00  2.506836E+01  2.488029E+00  -1.945000E+01  1.746944E+00
 6.600000E-04  1.014116E-02  5.855000E-03  0.000000E+00  1.432193E+01  2.639988E+00  -2.965328E+01  1.843967E+00
 7.700000E-04  1.023642E-02  5.910000E-03  0.000000E+00  3.805757E+00  2.689825E+00  -3.974134E+01  1.870945E+00
 8.800000E-04  1.033168E-02  5.965000E-03  0.000000E+00  -6.488532E+00  2.642805E+00  -4.971714E+01  1.832333E+00
 9.900000E-04  1.042695E-02  6.020000E-03  0.000000E+00  -1.656892E+01  2.503910E+00  -5.958358E+01  1.732304E+00
 1.100000E-03  1.052221E-02  6.075000E-03  0.000000E+00  -2.644301E+01  2.277856E+00  -6.934344E+01  1.574772E+00
 1.210000E-03  1.061747E-02  6.130000E-03  0.000000E+00  -3.611805E+01  1.969108E+00  -7.899939E+01  1.363402E+00
 1.320000E-03  1.071273E-02  6.185000E-03  0.000000E+00  -4.560094E+01  1.581898E+00  -8.855402E+01  1.101637E+00
 1.430000E-03  1.080800E-02  6.240000E-03  0.000000E+00  -5.489828E+01  1.120258E+00  -9.800985E+01  7.927041E-01
 1.540000E-03  1.090326E-02  6.295000E-03  0.000000E+00  -6.401626E+01  5.881544E-01  -1.073692E+02  4.396458E-01
 1.650000E-03  1.099852E-02  6.350000E-03  0.000000E+00  -7.386640E+01  -2.026196E+00  -1.175399E+02  -7.310391E-02

