#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 21/11/2019 A 20:24:26 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  0.000000E+00  1.016000E-01  0.000000E+00  8.691768E+08  5.584767E+06  5.842659E+08  -8.206978E+06
 1.354660E-02  0.000000E+00  1.151466E-01  0.000000E+00  6.359817E+08  8.663588E+07  3.947819E+08  -3.090834E+06
 2.709320E-02  0.000000E+00  1.286932E-01  0.000000E+00  4.617478E+08  1.299262E+08  2.244713E+08  -1.594633E+06
 4.063980E-02  0.000000E+00  1.422398E-01  0.000000E+00  3.272134E+08  1.490375E+08  7.057100E+07  -1.025528E+06
 5.418640E-02  0.000000E+00  1.557864E-01  0.000000E+00  2.191976E+08  1.541620E+08  -7.090955E+07  -6.568268E+05
 6.773300E-02  0.000000E+00  1.693330E-01  0.000000E+00  1.296282E+08  1.507331E+08  -2.025217E+08  -4.102517E+05
 8.127960E-02  0.000000E+00  1.828796E-01  0.000000E+00  5.338635E+07  1.419888E+08  -3.261321E+08  -2.411778E+05
 9.482620E-02  0.000000E+00  1.964262E-01  0.000000E+00  -1.291751E+07  1.299155E+08  -4.431376E+08  -1.230166E+05
 1.083728E-01  0.000000E+00  2.099728E-01  0.000000E+00  -7.160970E+07  1.157667E+08  -5.546081E+08  -3.925813E+04
 1.219194E-01  0.000000E+00  2.235194E-01  0.000000E+00  -1.243366E+08  1.003519E+08  -6.613794E+08  2.037782E+04
 1.354660E-01  0.000000E+00  2.370660E-01  0.000000E+00  -1.722944E+08  8.420246E+07  -7.641157E+08  6.157512E+04
 1.490126E-01  0.000000E+00  2.506126E-01  0.000000E+00  -2.163727E+08  6.767121E+07  -8.633534E+08  8.482598E+04
 1.625592E-01  0.000000E+00  2.641592E-01  0.000000E+00  -2.572443E+08  5.099276E+07  -9.595310E+08  8.257732E+04
 1.761058E-01  0.000000E+00  2.777058E-01  0.000000E+00  -2.954681E+08  3.424957E+07  -1.053018E+09  -1.811023E+04
 1.896524E-01  0.000000E+00  2.912524E-01  0.000000E+00  -3.317453E+08  1.748142E+07  -1.144354E+09  -5.669860E+04
 2.031990E-01  0.000000E+00  3.047990E-01  0.000000E+00  -3.654436E+08  3.817899E+05  -1.234806E+09  2.112224E+05

