#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 21/11/2019 A 20:24:26 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  7.462439E+08  8.447216E+08  9.765012E+06  5.794830E+08  8.544866E+08  1.055693E-02  9.999439E-01  -8.924039E-04  -4.744170E-03  9.425302E-04  9.999883E-01  9.999330E-01  -1.055257E-02  4.753854E-03  6.448895E-01
 1.354660E-02  4.811019E+08  5.542097E+08  8.786504E+07  3.981011E+08  6.420748E+08  -1.488024E-03  9.999941E-01  3.103886E-03  1.131040E-03  -3.102204E-03  9.999945E-01  9.999983E-01  1.491526E-03  -1.126417E-03  7.815677E-01
 2.709320E-02  2.977060E+08  3.334786E+08  1.325493E+08  2.270190E+08  4.660279E+08  -1.142352E-03  9.999978E-01  1.778601E-03  8.600692E-04  -1.777619E-03  9.999980E-01  9.999990E-01  1.143879E-03  -8.580360E-04  9.243977E-01
 4.063980E-02  2.286752E+08  2.576319E+08  7.243018E+07  1.511316E+08  3.300620E+08  1.934729E-04  1.785721E-03  9.999507E-01  -1.642392E-03  9.999564E-01  -1.697045E-03  9.999986E-01  1.641850E-03  -1.961069E-04  8.070015E-01
 5.418640E-02  2.641469E+08  2.906888E+08  -6.953437E+07  1.558016E+08  2.211545E+08  -1.379116E-04  5.572129E-04  9.999998E-01  -3.693234E-03  9.999930E-01  -5.577183E-04  9.999932E-01  3.693311E-03  1.358533E-04  3.879432E-01
 6.773300E-02  3.434772E+08  3.534999E+08  -2.014977E+08  1.309923E+08  1.520022E+08  -3.022768E-04  3.139167E-04  9.999999E-01  9.998797E-01  -9.799856E-03  3.053322E-04  9.947514E-03  9.998751E-01  -3.108865E-04  7.908983E-02
 8.127960E-02  4.309061E+08  4.683209E+08  -3.253695E+08  5.434758E+07  1.429514E+08  -3.754500E-04  2.025339E-04  9.999999E-01  9.999978E-01  -2.077214E-03  3.758692E-04  2.077290E-03  9.999978E-01  -2.017532E-04  -9.907081E-02
 9.482620E-02  5.167972E+08  5.732034E+08  -4.425735E+08  -1.224367E+07  1.306298E+08  -4.013332E-04  1.372320E-04  9.999999E-01  9.999992E-01  -1.167387E-03  4.014931E-04  1.167442E-03  9.999993E-01  -1.367633E-04  -2.091004E-01
 1.083728E-01  5.991676E+08  6.704753E+08  -5.541972E+08  -7.114543E+07  1.162781E+08  -4.029575E-04  9.423339E-05  9.999999E-01  9.999996E-01  -8.183420E-04  4.030345E-04  8.183800E-04  9.999997E-01  -9.390359E-05  -2.832065E-01
 1.219194E-01  6.779568E+08  7.617849E+08  -6.610879E+08  -1.240282E+08  1.006970E+08  -3.922956E-04  6.406422E-05  9.999999E-01  9.999997E-01  -6.325299E-04  3.923360E-04  6.325550E-04  9.999998E-01  -6.381606E-05  -3.365107E-01
 1.354660E-01  7.535610E+08  8.483301E+08  -7.639172E+08  -1.721031E+08  8.441292E+07  -3.755842E-04  4.221886E-05  9.999999E-01  9.999998E-01  -5.112676E-04  3.756057E-04  5.112835E-04  9.999999E-01  -4.202683E-05  -3.767036E-01
 1.490126E-01  8.264394E+08  9.310038E+08  -8.632241E+08  -2.162670E+08  6.777974E+07  -3.559756E-04  2.671421E-05  9.999999E-01  9.999999E-01  -4.092663E-04  3.559865E-04  4.092758E-04  9.999999E-01  -2.656852E-05  -4.080603E-01
 1.625592E-01  8.970106E+08  1.010490E+09  -9.594427E+08  -2.571936E+08  5.104720E+07  -3.348349E-04  1.877992E-05  9.999999E-01  9.999999E-01  -2.802043E-04  3.348402E-04  2.802105E-04  1.000000E+00  -1.868610E-05  -4.331384E-01
 1.761058E-01  9.656200E+08  1.087310E+09  -1.052889E+09  -2.953645E+08  3.442040E+07  -3.082102E-04  1.053773E-05  1.000000E+00  1.000000E+00  -4.061055E-05  3.082106E-04  4.061380E-05  1.000000E+00  -1.052522E-05  -4.535370E-01
 1.896524E-01  1.032619E+09  1.161981E+09  -1.144038E+09  -3.314216E+08  1.794343E+07  -2.057628E-04  9.394852E-05  1.000000E+00  9.999998E-01  6.506991E-04  2.057017E-04  -6.506797E-04  9.999998E-01  -9.408239E-05  -4.704919E-01
 2.031990E-01  1.099178E+09  1.235492E+09  -1.235472E+09  -3.660086E+08  2.033526E+04  5.104068E-08  -9.471732E-05  1.000000E+00  9.999994E-01  -1.085332E-03  -1.538406E-07  1.085332E-03  9.999994E-01  9.471721E-05  -4.856538E-01

