#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 21/11/2019 A 20:24:26 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  8.798818E-02  -5.080000E-02  0.000000E+00  6.946190E+07  1.981949E+08  4.035951E+08  1.086207E+08  -3.471638E+05  6.061581E+05
 1.354660E-02  9.971988E-02  -5.757330E-02  0.000000E+00  3.041612E+07  1.701189E+08  3.730568E+08  4.970303E+07  -1.835805E+04  2.055324E+04
 2.709320E-02  1.114516E-01  -6.434660E-02  0.000000E+00  1.720405E+07  1.466513E+08  3.536386E+08  1.057805E+07  -4.534690E+04  -1.998253E+05
 4.063980E-02  1.231833E-01  -7.111990E-02  0.000000E+00  9.997318E+06  1.218767E+08  3.382332E+08  -1.457527E+07  5.554141E+04  -9.253065E+04
 5.418640E-02  1.349150E-01  -7.789320E-02  0.000000E+00  4.171151E+06  9.605286E+07  3.242807E+08  -3.245207E+07  7.265119E+04  -7.488000E+04
 6.773300E-02  1.466467E-01  -8.466650E-02  0.000000E+00  -8.773806E+05  7.064691E+07  3.122001E+08  -4.519798E+07  7.205403E+04  -5.960256E+04
 8.127960E-02  1.583784E-01  -9.143980E-02  0.000000E+00  -5.495857E+06  4.627262E+07  3.019649E+08  -5.428846E+07  6.815013E+04  -4.861214E+04
 9.482620E-02  1.701101E-01  -9.821310E-02  0.000000E+00  -9.862241E+06  2.316944E+07  2.934807E+08  -6.071693E+07  6.290545E+04  -4.009654E+04
 1.083728E-01  1.818418E-01  -1.049864E-01  0.000000E+00  -1.406002E+07  1.396888E+06  2.866343E+08  -6.516853E+07  5.714570E+04  -3.316826E+04
 1.219194E-01  1.935735E-01  -1.117597E-01  0.000000E+00  -1.812491E+07  -1.907309E+07  2.813089E+08  -6.812650E+07  5.131260E+04  -2.735730E+04
 1.354660E-01  2.053052E-01  -1.185330E-01  0.000000E+00  -2.206906E+07  -3.830926E+07  2.773915E+08  -6.993856E+07  4.561791E+04  -2.238384E+04
 1.490126E-01  2.170369E-01  -1.253063E-01  0.000000E+00  -2.589367E+07  -5.639708E+07  2.747761E+08  -7.085912E+07  4.008494E+04  -1.806010E+04
 1.625592E-01  2.287686E-01  -1.320796E-01  0.000000E+00  -2.959625E+07  -7.342818E+07  2.733636E+08  -7.107600E+07  3.438830E+04  -1.422117E+04
 1.761058E-01  2.405003E-01  -1.388529E-01  0.000000E+00  -3.317231E+07  -8.948365E+07  2.730647E+08  -7.073359E+07  2.735955E+04  -1.033132E+04
 1.896524E-01  2.522320E-01  -1.456262E-01  0.000000E+00  -3.667757E+07  -1.048745E+08  2.737053E+08  -6.983195E+07  1.493808E+04  2.865729E+02
 2.031990E-01  2.639637E-01  -1.523995E-01  0.000000E+00  -3.984252E+07  -1.187769E+08  2.755188E+08  -6.933958E+07  -6.655879E+03  2.677227E+04

