#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 22/11/2019 A 17:23:56 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  0.000000E+00  5.000000E-01  0.000000E+00  1.598053E+08  1.409689E+06  1.600764E+08  -1.217112E+06  9.117466E+04  2.343212E+05
 2.222211E-02  0.000000E+00  5.222221E-01  0.000000E+00  1.182230E+08  7.318338E+06  1.237505E+08  -1.458447E+05  -4.598388E+04  -3.271004E+05
 4.444422E-02  0.000000E+00  5.444442E-01  0.000000E+00  7.902705E+07  1.136778E+07  8.834467E+07  2.024515E+04  -3.257870E+04  -3.379638E+05
 6.666633E-02  0.000000E+00  5.666663E-01  0.000000E+00  4.296122E+07  1.332227E+07  5.432660E+07  6.693361E+04  -1.834045E+04  -3.195595E+05
 8.888844E-02  0.000000E+00  5.888884E-01  0.000000E+00  9.654633E+06  1.376339E+07  2.160214E+07  8.084609E+04  -5.004083E+03  -2.933328E+05
 1.111106E-01  0.000000E+00  6.111106E-01  0.000000E+00  -2.123267E+07  1.299316E+07  -9.911979E+06  8.554393E+04  6.633476E+03  -2.655659E+05
 1.333327E-01  0.000000E+00  6.333327E-01  0.000000E+00  -4.999283E+07  1.123003E+07  -4.029912E+07  8.916789E+04  1.679739E+04  -2.382850E+05
 1.555548E-01  0.000000E+00  6.555548E-01  0.000000E+00  -7.687327E+07  8.644986E+06  -6.963859E+07  9.601184E+04  2.299142E+04  -2.114117E+05
 1.777769E-01  0.000000E+00  6.777769E-01  0.000000E+00  -1.022547E+08  5.143758E+06  -9.819091E+07  1.191111E+05  1.552462E+04  -1.981480E+05
 1.999990E-01  0.000000E+00  6.999990E-01  0.000000E+00  -1.273946E+08  1.209028E+05  -1.273945E+08  3.776994E+05  1.340192E+02  9.271338E+03

