#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 22/11/2019 A 17:23:56 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  1.585459E+08  1.587043E+08  1.399989E+06  1.597870E+08  1.601043E+08  7.684152E-03  9.999694E-01  -1.481094E-03  9.555207E-01  -7.779263E-03  -2.948213E-01  2.948238E-01  -8.502360E-04  9.555513E-01  6.754958E-01
 2.222211E-02  1.137709E+08  1.164346E+08  7.317227E+06  1.182228E+08  1.237518E+08  1.316188E-03  9.999952E-01  2.809845E-03  9.999654E-01  -1.339300E-03  8.240607E-03  -8.244331E-03  -2.798892E-03  9.999623E-01  7.303915E-01
 4.444422E-02  7.276925E+07  7.697997E+07  1.136629E+07  7.902694E+07  8.834626E+07  -2.971097E-04  9.999903E-01  4.390212E-03  9.999938E-01  2.817157E-04  3.506619E-03  -3.505348E-03  -4.391227E-03  9.999842E-01  8.187502E-01
 6.666633E-02  3.667177E+07  4.100949E+07  1.331962E+07  4.296134E+07  5.432912E+07  -2.253282E-03  9.999671E-01  7.791586E-03  9.999961E-01  2.240283E-03  1.676716E-03  -1.659204E-03  -7.795334E-03  9.999682E-01  1.005407E+00
 8.888844E-02  1.052700E+07  1.196048E+07  9.652629E+06  1.375443E+07  2.161311E+07  9.997475E-01  -1.960805E-02  -6.388148E-05  1.971670E-02  9.990476E-01  3.735744E-02  -6.707076E-04  -3.735174E-02  9.993019E-01  1.425541E+00
 1.111106E-01  3.020482E+07  3.422915E+07  -2.123289E+07  -9.914864E+06  1.299626E+07  9.999967E-01  -2.505735E-03  -6.446700E-04  6.757348E-04  1.156431E-02  9.999581E-01  2.496052E-03  9.999542E-01  -1.161587E-02  -2.003210E-01
 1.333327E-01  5.699934E+07  6.122426E+07  -4.999299E+07  -4.030019E+07  1.123126E+07  9.999974E-01  -1.463362E-03  -1.768748E-03  1.775491E-03  4.621117E-03  9.999877E-01  1.455170E-03  9.999883E-01  -4.623703E-03  -4.623568E-01
 1.555548E-01  8.214121E+07  8.551912E+07  -7.687346E+07  -6.963908E+07  8.645665E+06  9.999942E-01  -1.130643E-03  -3.210877E-03  3.213916E-03  2.696618E-03  9.999912E-01  1.121974E-03  9.999957E-01  -2.700236E-03  -5.594712E-01
 1.777769E-01  1.054261E+08  1.073992E+08  -1.022549E+08  -9.819122E+07  5.144270E+06  9.999919E-01  -1.116198E-03  -3.874400E-03  3.876530E-03  1.913049E-03  9.999907E-01  1.108775E-03  9.999975E-01  -1.917360E-03  -6.175002E-01
 1.999990E-01  1.275171E+08  1.275177E+08  -1.273957E+08  -1.273945E+08  1.220222E+05  9.947399E-01  -2.938944E-03  -1.023839E-01  1.023833E-01  -3.755905E-04  9.947442E-01  2.961951E-03  9.999956E-01  7.270849E-05  -6.657098E-01

