#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 22/11/2019 A 21:15:29 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  1.412134E+08  1.589291E+08  1.755066E+05  4.805877E+07  1.591046E+08  7.091892E-01  7.050161E-01  -1.748281E-03  9.122333E-04  1.562138E-03  9.999984E-01  -7.050176E-01  7.091896E-01  -4.647120E-04  4.894221E-01
 2.222211E-02  1.075363E+08  1.105142E+08  5.390292E+06  1.145140E+07  1.159045E+08  6.406200E-01  6.396463E-01  1.179800E-01  5.122276E-02  4.959092E-02  9.049247E-01  -6.129712E-01  6.166497E-01  1.273421E-04  4.114818E-01
 4.444422E-02  8.942953E+07  1.015295E+08  -2.463030E+07  9.784864E+06  7.689919E+07  2.248184E-03  3.076979E-03  9.999933E-01  7.082472E-01  7.059741E-01  -3.763999E-03  -6.087579E-01  6.131406E-01  -5.558147E-04  2.309406E-01
 6.666633E-02  8.869926E+07  9.950020E+07  -5.857766E+07  1.184941E+07  4.092255E+07  7.832608E-04  1.486596E-03  9.999987E-01  7.094829E-01  7.470914E-01  -1.570996E-03  -6.435303E-01  6.130840E-01  -4.959021E-04  -2.196669E-02
 8.888844E-02  1.013791E+08  1.034100E+08  -9.121918E+07  7.981545E+06  1.219085E+07  3.791576E-04  9.876860E-04  9.999995E-01  6.360518E-01  -5.728581E-01  3.530999E-04  6.777748E-01  7.350000E-01  -9.839241E-04  -2.335652E-01
 1.111106E-01  1.207286E+08  1.341255E+08  -1.226514E+08  -2.269124E+07  1.147410E+07  2.074005E-04  7.281199E-04  9.999997E-01  6.041171E-01  -5.983851E-01  3.345225E-04  7.050885E-01  7.091139E-01  -6.627173E-04  -3.695698E-01
 1.333327E-01  1.423949E+08  1.627367E+08  -1.529607E+08  -5.126023E+07  9.776024E+06  1.209442E-04  5.618396E-04  9.999998E-01  5.988051E-01  -5.959573E-01  2.839685E-04  7.062004E-01  7.080105E-01  -4.832847E-04  -4.551516E-01
 1.555548E-01  1.643696E+08  1.894781E+08  -1.822257E+08  -7.796627E+07  7.252491E+06  8.101548E-05  4.399011E-04  9.999999E-01  5.944815E-01  -5.925365E-01  2.301314E-04  7.065117E-01  7.077005E-01  -3.686064E-04  -5.129337E-01
 1.777769E-01  1.857757E+08  2.145147E+08  -2.105694E+08  -1.030696E+08  3.945295E+06  5.110645E-05  3.284199E-04  9.999999E-01  5.902789E-01  -5.889935E-01  1.816499E-04  7.066915E-01  7.075218E-01  -2.685196E-04  -5.556682E-01

