#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 22/11/2019 A 17:23:56 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  3.535534E-01  3.535534E-01  0.000000E+00  7.917124E+07  8.010899E+07  1.591905E+08  -7.946308E+07  9.575060E+04  2.242203E+04
 2.222211E-02  3.692668E-01  3.692668E-01  0.000000E+00  6.079760E+07  6.123835E+07  1.218421E+08  -5.488589E+07  -1.085714E+05  -8.894833E+04
 4.444422E-02  3.849802E-01  3.849802E-01  0.000000E+00  4.320087E+07  4.348270E+07  8.650205E+07  -3.355679E+07  -4.759211E+04  -1.328613E+05
 6.666633E-02  4.006936E-01  4.006936E-01  0.000000E+00  2.626753E+07  2.650424E+07  5.255440E+07  -1.468242E+07  -4.423723E+04  -1.146454E+05
 8.888844E-02  4.164070E-01  4.164070E-01  0.000000E+00  9.986614E+06  1.018566E+07  1.991279E+07  2.097714E+06  -4.029271E+04  -1.008095E+05
 1.111106E-01  4.321204E-01  4.321204E-01  0.000000E+00  -5.692561E+06  -5.524652E+06  -1.151947E+07  1.708194E+07  -3.662328E+04  -8.875189E+04
 1.333327E-01  4.478338E-01  4.478338E-01  0.000000E+00  -2.081298E+07  -2.067127E+07  -4.182878E+07  3.051777E+07  -3.309147E+04  -7.797410E+04
 1.555548E-01  4.635472E-01  4.635472E-01  0.000000E+00  -3.542383E+07  -3.528998E+07  -7.109377E+07  4.260915E+07  -3.061553E+04  -6.806202E+04
 1.777769E-01  4.792606E-01  4.792606E-01  0.000000E+00  -4.962161E+07  -4.950276E+07  -9.943748E+07  5.350735E+07  -2.579468E+04  -5.561852E+04

