#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 22/11/2019 A 17:23:56 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  3.535534E-01  3.535534E-01  0.000000E+00  1.590046E+08  6.180813E+04  1.590651E+08  -4.547019E+05
 2.222211E-02  3.692668E-01  3.692668E-01  0.000000E+00  1.158229E+08  6.188838E+06  1.217690E+08  -2.135795E+05
 4.444422E-02  3.849802E-01  3.849802E-01  0.000000E+00  7.677216E+07  9.747554E+06  8.638175E+07  -2.372989E+05
 6.666633E-02  4.006936E-01  4.006936E-01  0.000000E+00  4.092676E+07  1.162975E+07  5.241391E+07  -1.954906E+05
 8.888844E-02  4.164070E-01  4.164070E-01  0.000000E+00  7.841260E+06  1.209239E+07  1.976649E+07  -1.652027E+05
 1.111106E-01  4.321204E-01  4.321204E-01  0.000000E+00  -2.284085E+07  1.137082E+07  -1.166909E+07  -1.402646E+05
 1.333327E-01  4.478338E-01  4.478338E-01  0.000000E+00  -5.141251E+07  9.664481E+06  -4.198090E+07  -1.192167E+05
 1.555548E-01  4.635472E-01  4.635472E-01  0.000000E+00  -7.812044E+07  7.137315E+06  -7.124720E+07  -1.041076E+05
 1.777769E-01  4.792606E-01  4.792606E-01  0.000000E+00  -1.031914E+08  3.884724E+06  -9.955882E+07  -9.460462E+04

