#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 22/11/2019 A 21:15:29 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  0.000000E+00  5.000000E-01  0.000000E+00  1.594824E+08  -3.778287E+03  4.823407E+07  -1.409136E+06
 2.222211E-02  0.000000E+00  5.222221E-01  0.000000E+00  1.172312E+08  5.755171E+06  1.178727E+07  -7.050837E+05
 4.444422E-02  0.000000E+00  5.444442E-01  0.000000E+00  7.799585E+07  9.654679E+06  -2.367433E+07  -4.149839E+05
 6.666633E-02  0.000000E+00  5.666663E-01  0.000000E+00  4.201478E+07  1.169863E+07  -5.762990E+07  -3.128523E+05
 8.888844E-02  0.000000E+00  5.888884E-01  0.000000E+00  8.803633E+06  1.227920E+07  -9.027811E+07  -2.488288E+05
 1.111106E-01  0.000000E+00  6.111106E-01  0.000000E+00  -2.199215E+07  1.165552E+07  -1.217163E+08  -2.002951E+05
 1.333327E-01  0.000000E+00  6.333327E-01  0.000000E+00  -5.066713E+07  1.003602E+07  -1.520311E+08  -1.584149E+05
 1.555548E-01  0.000000E+00  6.555548E-01  0.000000E+00  -7.747777E+07  7.579014E+06  -1.812940E+08  -1.304362E+05
 1.777769E-01  0.000000E+00  6.777769E-01  0.000000E+00  -1.027721E+08  4.357772E+06  -2.097750E+08  4.922769E+04
 1.999990E-01  0.000000E+00  6.999990E-01  0.000000E+00  -1.271810E+08  3.156390E+05  -2.382551E+08  3.171275E+05

