#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 22/11/2019 A 21:15:29 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  1.407979E+08  1.584155E+08  1.399175E+06  4.894558E+07  1.598147E+08  7.686020E-03  9.999582E-01  -4.942908E-03  -7.680889E-04  4.948956E-03  9.999875E-01  9.999702E-01  -7.682127E-03  8.060946E-04  4.975440E-01
 2.222211E-02  1.083536E+08  1.109252E+08  7.298028E+06  1.263874E+07  1.182232E+08  1.337766E-03  9.981138E-01  6.137564E-02  3.499202E-04  -6.137616E-02  9.981146E-01  9.999990E-01  -1.313767E-03  -4.313648E-04  4.250281E-01
 4.444422E-02  8.975293E+07  1.018176E+08  -2.279050E+07  1.137108E+07  7.902707E+07  3.179202E-04  9.883298E-03  9.999615E-01  -3.039323E-04  9.999605E-01  -9.903178E-03  9.999999E-01  3.008363E-04  -3.209804E-04  2.510880E-01
 6.666633E-02  8.874212E+07  9.976809E+07  -5.680672E+07  1.332357E+07  4.296137E+07  1.807726E-04  4.556546E-03  9.999896E-01  -2.261268E-03  9.999871E-01  -4.556126E-03  9.999974E-01  2.260421E-03  -1.910737E-04  -1.959746E-03
 8.888844E-02  1.013026E+08  1.032968E+08  -8.953055E+07  9.652629E+06  1.376623E+07  4.813715E-05  2.839744E-03  9.999960E-01  9.997476E-01  -1.960292E-02  7.610788E-06  1.972285E-02  9.997417E-01  -2.840040E-03  -2.175386E-01
 1.111106E-01  1.206235E+08  1.340383E+08  -1.210444E+08  -2.123289E+07  1.299390E+07  -6.815783E-05  1.981322E-03  9.999980E-01  9.999970E-01  -2.500165E-03  7.310565E-05  2.500305E-03  9.999950E-01  -1.981146E-03  -3.572642E-01
 1.333327E-01  1.422971E+08  1.626618E+08  -1.514313E+08  -4.999296E+07  1.123051E+07  -1.668794E-04  1.465006E-03  9.999989E-01  9.999989E-01  -1.455823E-03  1.690120E-04  1.456069E-03  9.999979E-01  -1.464761E-03  -4.455321E-01
 1.555548E-01  1.642963E+08  1.894160E+08  -1.807707E+08  -7.687338E+07  8.645330E+06  -2.223210E-04  1.116238E-03  9.999994E-01  9.999993E-01  -1.122159E-03  2.235735E-04  1.122408E-03  9.999987E-01  -1.115988E-03  -5.051824E-01
 1.777769E-01  1.857340E+08  2.144670E+08  -2.093229E+08  -1.022548E+08  5.144073E+06  -1.460253E-04  9.239915E-04  9.999996E-01  9.999994E-01  -1.108787E-03  1.470497E-04  1.108923E-03  9.999990E-01  -9.238290E-04  -5.499509E-01
 1.999990E-01  2.068379E+08  2.386484E+08  -2.385263E+08  -1.273957E+08  1.220219E+05  -1.073913E-06  -3.884768E-05  1.000000E+00  9.999956E-01  -2.961951E-03  9.588353E-07  2.961951E-03  9.999956E-01  3.885070E-05  -5.895116E-01

