# T(degC),f_1e2(MPa),f_1e3(MPa),f_1e4(MPa),S_m(MPa)
2.000000000000000000e+01,2.392240950538823085e+02,2.392240950538823085e+02,2.392240950538823085e+02,2.070000000000000000e+02
3.736734693877551194e+01,2.378132080685272172e+02,2.378132080685272172e+02,2.378132080685272172e+02,2.070000000000000000e+02
5.473469387755102389e+01,2.364023210831721542e+02,2.364023210831721542e+02,2.364023210831721542e+02,2.070000000000000000e+02
7.210204081632653583e+01,2.349914340978170912e+02,2.349914340978170912e+02,2.349914340978170912e+02,2.070000000000000000e+02
8.946938775510204778e+01,2.335805471124619999e+02,2.335805471124619999e+02,2.335805471124619999e+02,2.070000000000000000e+02
1.068367346938775597e+02,2.321696601271069369e+02,2.321696601271069369e+02,2.321696601271069369e+02,2.070000000000000000e+02
1.242040816326530717e+02,2.307587731417518455e+02,2.307587731417518455e+02,2.307587731417518455e+02,2.070000000000000000e+02
1.415714285714285836e+02,2.293478861563967826e+02,2.293478861563967826e+02,2.293478861563967826e+02,2.070000000000000000e+02
1.589387755102040956e+02,2.279369991710417196e+02,2.279369991710417196e+02,2.279369991710417196e+02,2.070000000000000000e+02
1.763061224489796075e+02,2.265261121856866282e+02,2.265261121856866282e+02,2.265261121856866282e+02,2.070000000000000000e+02
1.936734693877551194e+02,2.251152252003315937e+02,2.251152252003315937e+02,2.251152252003315937e+02,2.070000000000000000e+02
2.110408163265306314e+02,2.237043382149765307e+02,2.237043382149765307e+02,2.237043382149765307e+02,2.070000000000000000e+02
2.284081632653061433e+02,2.222934512296214393e+02,2.222934512296214393e+02,2.222934512296214393e+02,2.070000000000000000e+02
2.457755102040816553e+02,2.208825642442663764e+02,2.208825642442663764e+02,2.208825642442663764e+02,2.070000000000000000e+02
2.631428571428571672e+02,2.194716772589113134e+02,2.194716772589113134e+02,2.194716772589113134e+02,2.067371428571428567e+02
2.805102040816326507e+02,2.180607902735562220e+02,2.180607902735562220e+02,2.180607902735562220e+02,2.063897959183673549e+02
2.978775510204081911e+02,2.166499032882011591e+02,2.166499032882011591e+02,2.166499032882011591e+02,2.060424489795918248e+02
3.152448979591837315e+02,2.152390163028460677e+02,2.152390163028460677e+02,2.152390163028460677e+02,2.041706122448979386e+02
3.326122448979592150e+02,2.138281293174910047e+02,2.138281293174910047e+02,2.138281293174910047e+02,2.020865306122448999e+02
3.499795918367346985e+02,2.124172423321359418e+02,2.124172423321359418e+02,2.124172423321359418e+02,2.000024489795918328e+02
3.673469387755102389e+02,2.110063553467808504e+02,2.110063553467808504e+02,2.110063553467808504e+02,1.979183673469387656e+02
3.847142857142857792e+02,2.095954683614258158e+02,2.095954683614258158e+02,2.095954683614258158e+02,1.966114285714285757e+02
4.020816326530612628e+02,2.081845813760707529e+02,2.081845813760707529e+02,2.081845813760707529e+02,1.959167346938775438e+02
4.194489795918367463e+02,2.067736943907156615e+02,2.067736943907156615e+02,2.067736943907156615e+02,1.952220408163265404e+02
4.368163265306122867e+02,2.053628074053605985e+02,2.053628074053605985e+02,2.053628074053605985e+02,1.950000000000000000e+02
