# T(degC),f_1e2(MPa),f_1e3(MPa),f_1e4(MPa)
2.000000000000000000e+01,2.850472777437154832e+02,2.850472777437154832e+02,2.850472777437154832e+02
3.736734693877551194e+01,2.817090415295486423e+02,2.817090415295486423e+02,2.817090415295486423e+02
5.473469387755102389e+01,2.783708053153818014e+02,2.783708053153818014e+02,2.783708053153818014e+02
7.210204081632653583e+01,2.740684306067440730e+02,2.740684306067440730e+02,2.740684306067440730e+02
8.946938775510204778e+01,2.704067515508692736e+02,2.704067515508692736e+02,2.704067515508692736e+02
1.068367346938775597e+02,2.684133250324752566e+02,2.684133250324752566e+02,2.684133250324752566e+02
1.242040816326530717e+02,2.657079941714388838e+02,2.657079941714388838e+02,2.657079941714388838e+02
1.415714285714285836e+02,2.635388012889366109e+02,2.635388012889366109e+02,2.635388012889366109e+02
1.589387755102040956e+02,2.621391995759342421e+02,2.621391995759342421e+02,2.621391995759342421e+02
1.763061224489796075e+02,2.608808808438377014e+02,2.608808808438377014e+02,2.608808808438377014e+02
1.936734693877551194e+02,2.596972742059229518e+02,2.596972742059229518e+02,2.596972742059229518e+02
2.110408163265306314e+02,2.586594231547185245e+02,2.586594231547185245e+02,2.586594231547185245e+02
2.284081632653061433e+02,2.577140186985356536e+02,2.577140186985356536e+02,2.577140186985356536e+02
2.457755102040816553e+02,2.569558348513024271e+02,2.569558348513024271e+02,2.569558348513024271e+02
2.631428571428571672e+02,2.562987978643780593e+02,2.562987978643780593e+02,2.562987978643780593e+02
2.805102040816326507e+02,2.555702803742999265e+02,2.555702803742999265e+02,2.555702803742999265e+02
2.978775510204081911e+02,2.548659217242135924e+02,2.548659217242135924e+02,2.548659217242135924e+02
3.152448979591837315e+02,2.548176107283867111e+02,2.548176107283867111e+02,2.548176107283867111e+02
3.326122448979592150e+02,2.552642533427163869e+02,2.552642533427163869e+02,2.552642533427163869e+02
3.499795918367346985e+02,2.559169028684208627e+02,2.559169028684208627e+02,2.559169028684208627e+02
3.673469387755102389e+02,2.565943775966298972e+02,2.565943775966298972e+02,2.565943775966298972e+02
3.847142857142857792e+02,2.574463602236706379e+02,2.574463602236706379e+02,2.574463602236706379e+02
4.020816326530612628e+02,2.584716875124021271e+02,2.584716875124021271e+02,2.584716875124021271e+02
4.194489795918367463e+02,2.594608182401476597e+02,2.594608182401476597e+02,2.594608182401476597e+02
4.368163265306122867e+02,2.602067811835158864e+02,2.602067811835158864e+02,2.602067811835158864e+02
4.541836734693878270e+02,2.607441297463382170e+02,2.607441297463382170e+02,2.607441297463382170e+02
4.715510204081633105e+02,2.611058814037597244e+02,2.611058814037597244e+02,2.611058814037597244e+02
4.889183673469387941e+02,2.614267819443048211e+02,2.614267819443048211e+02,2.614267819443048211e+02
5.062857142857143344e+02,2.613977740942191872e+02,2.613977740942191872e+02,2.613977740942191872e+02
5.236530612244898748e+02,2.612433916049113236e+02,2.612433916049113236e+02,2.612433916049113236e+02
5.410204081632653015e+02,2.608933615993336161e+02,2.608933615993336161e+02,2.608933615993336161e+02
5.583877551020408418e+02,2.600206976111936683e+02,2.600206976111936683e+02,2.600206976111936683e+02
5.757551020408163822e+02,2.587735025237281548e+02,2.587735025237281548e+02,2.587735025237281548e+02
5.931224489795919226e+02,2.566883837245769087e+02,2.566883837245769087e+02,2.566883837245769087e+02
6.104897959183674629e+02,2.532472819511693558e+02,2.532472819511693558e+02,2.408113846739105099e+02
6.278571428571428896e+02,2.487216698582918184e+02,2.487216698582918184e+02,2.180495156636065985e+02
6.452244897959184300e+02,2.433552606622706662e+02,2.433552606622706662e+02,1.952876466533025166e+02
6.625918367346939704e+02,2.330036057876451139e+02,2.214588913871217244e+02,1.725257776429984631e+02
6.799591836734693970e+02,2.213326134886087289e+02,1.950978000700987138e+02,1.497639086326945232e+02
6.973265306122449374e+02,2.092011656034408134e+02,1.687367087530755043e+02,1.270020396223904413e+02
7.146938775510204778e+02,1.959552796379906852e+02,1.485440205581795396e+02,1.104294512562977815e+02
7.320612244897960181e+02,1.756046559033226231e+02,1.322006984337713504e+02,9.771925749069578160e+01
7.494285714285715585e+02,1.552540321686545042e+02,1.158573763093631470e+02,8.500906372509378173e+01
7.667959183673469852e+02,1.355721432983902162e+02,1.004981462922764877e+02,7.338256386683949017e+01
7.841632653061225255e+02,1.169305086616425768e+02,8.666972621991187964e+01,6.344181008668137878e+01
8.015306122448980659e+02,9.828887402489493752e+01,7.284130614754728583e+01,5.350105630652326028e+01
8.188979591836734926e+02,8.110762615221101157e+01,5.987969664264344516e+01,4.401013018369949492e+01
8.362653061224490330e+02,7.121802768601338585e+01,5.124603567527202586e+01,3.676517454714328892e+01
8.536326530612245733e+02,6.132842921981576723e+01,4.261237470790059234e+01,2.952021891058707226e+01
8.710000000000000000e+02,5.143883075361821255e+01,3.397871374052922988e+01,2.227526327403090889e+01
